"T(P,V/N)-b1","T(P,V/N)-b2","T(P,V/N)-a","T(P,V/N)-R2",T(V/N)-b,T(V/N)-a,T(V/N)-R2,P(V)-slope,P(V)-a,P(V)-R2,Wp(WT)-slope,Wp(WT)-a,Wp(WT)-R2,T(P)-slope,T(P)-a,T(P)-R2,T-m,T-slope,T-R2,P-m,P-slope,P-R2,V-m,V-slope,V-R2,Vs-m,Vs-slope,Vs-R2,TN-m,TN-slope,TN-R2,PV-m,PV-slope,PV-R2,V/N-m,V/N-slope,V/N-R2,N-m,Ns-m,I-m,V0-m,V/Vs-min,V/Vs-max,V/Vs-m,V/Vs-std,T/P-min,T/P-max,T/P-m,T/P-std,Tpi-min,Tpi-max,Tpi-m,Tpi-std,Fpi-min,Fpi-max,Fpi-m,Fpi-std,Tpi-slope,Tpi-R2:1-sse/sst,WT/WP-slope,WT/WP-R2:1-sse/sst,T(P*V/N)-slope,T(P*V/N)-a,T(P*V/N)-R2,Fpi,P*V/N,T/P,Tpi,dt,dz,workP,workT,Total T,Total F,RPM,Pr,p,Chainage
0.17706406,83.81869458,-984.5521824,0.976917806,140.2729235,-187.9380957,0.911969019,71.01201231,4493.838546,0.693483812,76.92246299,-58606.60546,0.972817756,0.359666306,-1485.57482,0.877470928,1568.345442,16.20639609,0.624232759,8490.982364,49.45572483,0.856985697,56.28827698,0.379410745,0.366764248,2382.702821,14.34760054,0.380553359,7050.653883,72.68191871,0.623598532,483747.0569,5554.024966,0.598677723,12.52047432,0.084715765,0.368018581,4.496075566,5914.952177,55.70290489,56.28827698,0.020847627,0.025367151,0.023536017,0.000924518,0.100075479,0.203329529,0.182975454,0.024340943,105.8874499,140.1283846,124.6328472,8.051535654,591.6661887,1201.901206,694.1112338,109.3546084,125.6415053,0.901789837,0.014490539,0.95119173,0.012652112,206.9029855,0.972902411,656.1516079,118065.6018,0.192681422,126.4190785,11.33333333,683.874585,530698.0637,7619.196318,1695.060349,8798.830293,4.494964414,60.3075587,13.41670251,71131.29056
0.155692286,210.6761218,-1818.689427,0.844069533,282.3933365,-578.5433716,0.778509706,40.95205599,10041.25392,0.496672392,52.03954818,38569.32077,0.954395893,0.354055204,-2323.116359,0.598698613,1967.437628,13.99216129,0.472228346,12118.31923,9.974463509,0.050245278,50.71943915,0.533460815,0.485291415,1956.341881,23.25901277,0.472175939,11165.8561,141.0703921,0.53241189,619635.4274,6468.78433,0.394532578,9.015726187,0.036873102,0.335928354,5.568026562,7337.667833,58.19435743,50.71943915,0.023774127,0.035850964,0.026468021,0.002475727,0.086530243,0.184886286,0.161727843,0.02059966,115.6081816,239.6730282,217.4154221,19.7789511,1191.948299,1877.236038,1355.787951,129.7898179,218.8814524,0.738722326,0.018037437,0.954121519,0.018126546,-20.02391787,0.829630245,1334.890318,115690.5458,0.168256687,224.2225724,13.33333333,741.4947754,691219.4002,12474.80178,2087.929239,12420.41918,5.974672767,55.66275215,9.31639272,71127.58852
0.17533144,164.0346717,-1189.558123,0.991663896,258.6836528,-99.91743545,0.984036067,89.30478005,6545.819822,0.91588892,56.14166869,-104459.4742,0.988251934,0.462564179,-2881.010223,0.970007072,2597.72135,34.47015751,0.499322549,11844.26252,82.25297486,0.627143561,59.32988914,0.699929077,0.395438014,2530.143359,26.51105902,0.353151462,14787.92209,185.1115921,0.404503499,725759.1482,11360.16098,0.477662404,10.42833111,0.130413401,0.486033311,5.66545226,7463.308417,60.47819094,73.13236913,0.016941915,0.031553028,0.023382525,0.001922862,0.077598965,0.24793004,0.214154142,0.043126283,207.9667342,295.7498151,248.1336059,14.16645459,1005.852097,2680.019425,1237.599832,422.1205424,249.7040251,0.982770871,0.020108179,0.966094574,0.01729681,393.2471376,0.98893267,1076.466935,147254.4584,0.23402887,251.8113448,11.33333333,781.8620605,847487.0733,16959.55141,2945.131517,12585.19027,5.756756374,75.98357282,11.69773207,71124.61572
0.062419011,263.4433045,-904.9451431,0.985210686,299.975401,-488.3615947,0.983350458,106.2891154,6653.734905,0.886567417,56.68870115,-82386.07857,0.973313359,0.461621944,-3263.176171,0.899416985,2592.253567,27.14269518,0.551823439,12684.47007,62.11620766,0.684724517,56.73897221,0.486225898,0.53462345,2225.910331,23.73544662,0.542990382,14321.69088,149.5143957,0.551618823,729491.9754,9059.489923,0.613394985,10.26955928,0.088347287,0.534987456,5.525737021,7280.064133,60.89397391,80.46022808,0.023853643,0.03216417,0.025854008,0.001957943,0.11082249,0.228979967,0.202195057,0.029668727,209.015545,270.8750162,250.4514243,13.43301257,1093.950483,1886.039067,1262.346446,168.7790388,253.7527284,0.959329972,0.019509869,0.95428087,0.017177918,324.0445477,0.973430827,1182.377692,145804.4835,0.216887211,256.2214935,17,1046.758057,805348.4807,15716.76052,2845.435567,13117.52582,5.52357992,90.58413764,11.10305265,71123.88212
0.142541756,211.0760391,-1203.650197,0.994047295,326.9868535,-156.4131109,0.989553543,129.038162,7456.16419,0.96710653,54.24396466,-104678.1261,0.991742082,0.393059701,-2981.67331,0.979665245,2619.597845,32.54201512,0.396140352,14250.43356,89.38873041,0.471373402,52.65317847,0.722364215,0.529997723,2078.247978,31.71250948,0.502018239,16250.02552,236.7784218,0.530059591,776787.6839,12932.87503,0.532999141,8.489671453,0.098038575,0.388486084,6.187689095,8151.279655,60.66963415,52.65317847,0.021334041,0.044212615,0.026820112,0.005561436,0.069292324,0.206943265,0.178916407,0.038265057,244.4872764,331.0649545,305.3549607,16.48659558,1484.137877,3528.345753,1816.598055,535.3823377,309.7921093,0.986621592,0.020661878,0.973133668,0.018183697,343.5222186,0.991599317,1594.26509,145047.7257,0.196290476,312.4781401,15,892.123291,900662.2031,18525.4506,2982.100088,15183.09467,6.225792612,59.30829875,9.545530253,71114.06063
0.225646297,136.5351155,-2087.17242,0.963185579,327.2624887,-98.46096445,0.914935359,141.7612187,8815.967985,0.867167858,55.49167838,-60476.66086,0.948556105,0.365469002,-3163.235507,0.941782309,2688.173743,30.29911451,0.513751879,16010.68551,71.14123474,0.401686201,50.75236787,0.480379196,0.424447717,2179.550355,20.06496035,0.460071888,16022.35355,180.4914206,0.512385305,828630.6291,9835.844299,0.4687207,8.514983549,0.080651562,0.426109448,5.957705229,7846.846375,61.38246856,50.75236787,0.020336923,0.030055308,0.023322852,0.001721164,0.060248801,0.186813838,0.165062219,0.029302272,249.3731666,368.8228413,313.5739562,24.39670632,1575.864853,4691.014678,1984.106458,529.8494698,316.1849266,0.913841094,0.019203845,0.93319573,0.017080564,313.6719248,0.948500061,1799.650914,156582.3619,0.178534356,321.1117109,8.333333333,463.351416,933216.2845,17822.15949,2990.3494,16751.42466,5.959893061,55.72858789,9.350583405,71102.97656
0.127466951,256.0060785,-1469.960506,0.979996941,368.199154,-489.6923306,0.971457446,134.5216317,7652.477801,0.914942024,53.50338587,-43601.14523,0.984316341,0.393169705,-3306.185916,0.939379284,2954.710778,29.64837046,0.463886617,15924.15848,56.61613331,0.278361848,61.4895952,0.533601243,0.489050428,2499.738893,24.98508487,0.511476308,19420.85173,193.6881197,0.460750958,995480.1789,10432.64568,0.45964375,9.354728471,0.081791719,0.492686488,6.574533083,8662.037074,65.78168415,61.4895952,0.023592188,0.043649794,0.025036665,0.002860131,0.071952127,0.207865091,0.18278528,0.030284573,226.5527572,335.9603536,312.2117451,23.84430886,1528.604271,3148.659625,1758.83518,326.5425629,317.4906348,0.952436538,0.01945633,0.980892155,0.018404032,167.3272463,0.984397018,1659.887185,164873.8739,0.194138369,321.9235814,34.66666667,2277.034351,1083341.766,21080.50263,3208.245418,16531.01406,6.570793005,65.54048544,9.974672018,71087.66499
0.099878165,296.187369,-1370.844543,0.978887543,377.8148744,-551.7668731,0.976377902,124.7751881,8178.910808,0.947729388,52.4716509,-43187.77007,0.983933999,0.443373772,-4045.428095,0.947569674,2927.223719,29.93628189,0.471739691,15726.35156,64.24777162,0.450766551,60.48831393,0.513329638,0.472716043,2450.925413,22.85336095,0.513728354,19228.15105,196.1479391,0.471466981,965745.059,10702.01653,0.501569973,9.208188526,0.078412883,0.473174902,6.570045222,8653.710385,65.30367229,84.21029625,0.022859134,0.028381552,0.02477133,0.000869731,0.082222825,0.211803581,0.183624845,0.030410222,257.0636513,338.4445428,314.6136345,21.04375203,1543.630169,3147.195187,1762.553171,318.4647864,319.7467695,0.952577795,0.019853973,0.980360953,0.018757826,169.3956148,0.98400061,1659.001592,161955.1055,0.194941399,323.3543517,41.83333333,2718.997754,1063626.07,20980.40839,3194.626267,16390.22767,6.567418741,104.4279623,9.880799142,71085.82944
0.165661298,199.184914,-1360.66249,0.993211403,287.1384545,-185.2588989,0.986099242,83.90889168,7421.998549,0.916100459,53.83519814,-107887.1414,0.980319515,0.51404745,-3694.941286,0.959339113,2593.517487,22.25981363,0.221238224,12233.22627,30.91096472,0.117510453,57.33871143,0.542731795,0.278416379,2416.506556,20.28835738,0.225738891,15376.77392,151.7808035,0.263751959,719924.5292,7192.982852,0.200361865,9.677479079,0.07845353,0.229775747,5.89208861,7761.724295,59.89475724,62.92629606,0.017007972,0.027391114,0.023671106,0.001641649,0.060667808,0.2420332,0.20785902,0.04151821,155.7135697,284.8766976,265.4065941,19.39786267,1119.198603,2566.658911,1339.865326,328.3332633,269.0712989,0.981962632,0.021062833,0.953755072,0.017978412,411.8646607,0.979416232,1254.157322,130802.414,0.219123175,270.4557911,45,2721.625,785635.7233,16694.05942,2779.283507,12588.44702,6.007626136,71.00962137,10.27144268,71074.76155
0.069725727,244.1207335,-668.6395671,0.983147248,263.7669891,-74.50019754,0.978563273,51.86381528,8510.211446,0.542917817,48.82327065,-56339.90618,0.974519784,0.539478187,-3523.313493,0.599401945,2635.199823,28.33917769,0.628392826,11415.6855,15.09018119,0.086511784,56.02121704,0.602680822,0.683684814,2383.716728,27.26794261,0.718497865,14370.16804,154.0144512,0.627718993,645258.6971,7120.648411,0.548552668,10.27308243,0.110903662,0.684227423,5.454084157,7190.310023,57.54082195,56.02121704,0.020931071,0.025935902,0.023555303,0.000779403,0.10332482,0.270638733,0.229243716,0.039136925,199.7497525,269.1154098,255.8964056,10.41846402,947.1279364,1933.221388,1155.151802,237.0106634,256.7634321,0.977848903,0.022168311,0.962041563,0.019972897,271.8256268,0.974664193,1055.021954,130304.7795,0.247966279,259.9516929,40,2446.513794,710363.9151,15790.47374,2896.511743,11695.54855,5.451656852,60.79242844,11.15142956,71072.73908
